timestamp(ms),set,PWM,temp_int,time_of_one_cycle,temp_delta,temp_i�>temp_int,time_of_me_of_one_cycle,
"1708895974.03","-30","6755","-29.96",,"-0.07",,,
"1708895974.031","-30","9651",,"83","0.04",,,
"1708895974.032","-30","7334","-30.05","82","-0.05",,,
"1708895974.033",,,"-30.05","82","-0.05",,,
"1708895974.036","-30",,,,,,,
"1708895974.037",,"7334","-30","83",,,,
"1708895974.038","-30",,,,"0",,,
"1708895974.039",,"8686","-30.07","83",,,,
"1708895974.04","-30","6562",,,"-0.07",,,
"1708895974.041",,,"-29.95","83",,,,
"1708895974.042","-30","9844",,,"0.05",,,
"1708895974.043",,,"-29.99","83",,,,
"1708895974.044","-30","8879",,,"0.01",,,
"1708895974.045",,,"-30.07","82","-0.07",,,
"1708895974.046","-30","6755",,,,,,
"1708895974.049",,,"-30.04","82",,,,
"1708895974.05","-30",,,,"-0.04",,,
"1708895974.051",,"7527","-30.05",,,,,
"1708895974.052","-30",,,"82","-0.05",,,
"1708895974.493","-30","8686","-30","83","0",,,
"1708895974.494",,,"-30.09","82","-0.09",,,
"1708895974.495","-30","6176","-30.05","82",,,,
"1708895974.496","-30","7334","-29.96",,"-0.05",,,
"1708895974.497","-30","9651","-29.92","83","0.04",,,
"1708895974.498","-30","10616",,"83","0.08",,,
"1708895974.499","-30","9072","-30","82","0.02",,,
"1708895974.5","-30","8686","-29.89","82","0.11",,,
"1708895974.501","-30","9651","-29.96","83","0.04",,,
"1708895974.502","-30","9072","-29.98","83","0.02",,,
"1708895974.503","-30",,"-29.9","82","0.1",,,
"1708895974.504",,"11196",,,,,,
"1708895974.513","-30","9651","-29.96","83","0.04",,,
"1708895974.514","-30","5404","-30.12","82","-0.12",,,
"1708895974.515","-30","5983","-30.1","82","-0.1",,,
"1708895974.516","-30","7141","-30.05","82","-0.05",,,
"1708895974.517","-30","8107","-30.02","82","-0.02",,,
"1708895974.518","-30","8686","-30","83","0",,,
"1708895974.519","-30","7141","-30.05","82","-0.05",,,
"1708895974.52","-30","5210","-30","82","-0.12",,,
"1708895974.521","-30","10616","-29.92","83","0.08",,,
"1708895974.522","-30","9651","-29.96","83","0.04",,,
"1708895974.523","-30","7720","-29.97","82","0.03",,,
"1708895974.524","-30","5017","-30.07","83","-0.13",,,
"1708895974.525","-30","6562","-30.1","83","-0.07",,,
"1708895974.526","-30","5983","-30.04","82","-0.04",,,
"1708895974.527","-30","8686","-29.94","82","0.06",,,
"1708895974.528","-30","9651","-30.04","82","0.04",,,
"1708895974.529","-30","11002","-30.01","82","0.09",,,
"1708895974.53","-30","9844","-29.94","83","0.05",,,
"1708895974.531","-30","7720","-30.03","83","-0.03",,,
"1708895974.532","-30","8106","-30.07","82","-0.02",,,
"1708895974.559","-30",,,,"-0.07",,,
"1708895974.56",,"6562","-30.07","82",,,,
"1708895974.561","-30","6755",,,"-0.07",,,
"1708895974.562",,,"-29.96","83",,,,
"1708895974.563","-30","9651",,,"0.04",,,
"1708895974.564",,,"-30.1",,,,,
"1708895974.616",,,,"82","-0.1",,,
"1708895974.617","-30","5789","-30.02","82","-0.02",,,
"1708895974.618","-30","8106","-29.96","82","0.04",,,
"1708895975.005",,"9651",,,,,,
"1708895975.006",,,"-30","83",,,,
"1708895975.007","-30",,,,"0",,,
"1708895975.008",,"8686","-29.93","82",,,,
"1708895975.009",,,,,"0.07",,,
"1708895975.01","-30","10423","-29.89",,,,,
"1708895975.011",,,,"83","0.11",,,
"1708895975.012","-30","11582",,,,,,
"1708895975.013",,,"-30.06","82",,,,
"1708895975.014","-30",,,,"-0.06",,,
"1708895975.015",,"6948","-30.08","82",,,,
"1708895975.016","-30","6369",,,"-0.08",,,
"1708895975.017",,,"-29.9","83","0.1",,,
"1708895975.018","-30","11195","-29.93",,,,,
"1708895975.019",,,,"82","0.07",,,
"1708895975.02","-30","10423",,,,,,
"1708895975.021","-30",,"-29.93","83","0.07",,,
"1708895975.022",,"10423","-30","83",,,,
"1708895975.023","-30","8686",,,"0",,,
"1708895975.024",,,"-30.24",,,,,
"1708895975.027",,,,"82","-0.24",,,
"1708895975.028","-30",,,,,,,
"1708895975.029",,"2121","-30.07","82",,,,
"1708895975.03","-30",,,,"-0.07",,,
"1708895975.031",,"6755","-30",,,,,
"1708895975.032","-30",,,"83","0",,,
"1708895975.04","-30","8685","-29.88","83","0.12",,,
"1708895975.041",,"11774","-30.05","82","-0.05",,,
"1708895975.042","-30","7141",,,,,,
"1708895975.043",,,"-29.9","83",,,,
"1708895975.044","-30","11388",,,"0.1",,,
"1708895975.045","-30",,"-29.99","82","0.01",,,
"1708895975.046","-30","8879","-30","82","0",,,
"1708895975.047",,"8686","-29.97","83","0.03",,,
"1708895975.048","-30","9458","-29.89","82","0.11",,,
"1708895975.049","-30","11582","-29.97","83","0.03",,,
"1708895975.05","-30","9265","-29.93","83","0.07",,,
"1708895975.051","-30","10423","-29.87","82",,,,
"1708895975.052","-30","12161","-30.07","82","0.13",,,
"1708895975.053","-30",,,,"-0.07",,,
